Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2015,388,2,0,H4,90510,8,21378,21378,62920,0
2015,388,1,0,H4,90520,8,16015,16015,97882,0
2015,388,2,0,H4,90520,8,156,156,1089,0
2015,388,1,0,H4,906,8,51887,51887,162759,0
2015,388,2,0,H4,906,8,147,147,1914,0
2015,388,1,0,H4,90611,8,690,690,3579,0
2015,388,2,0,H4,90611,8,109,109,1816,0
2015,388,1,0,H4,90619,8,1674,1674,7239,0
2015,388,2,0,H4,90619,8,6,6,44,0
2015,388,1,0,H4,90620,8,49524,49524,151941,0
2015,388,2,0,H4,90620,8,32,32,54,0
2015,388,1,0,H4,907,8,3155,3155,27922,0
2015,388,1,0,H4,90710,8,2061,2061,14342,0
2015,388,1,0,H4,90720,8,1093,1093,13579,0
2015,388,1,0,H4,908,8,28550,28550,370144,0
2015,388,2,0,H4,908,8,415,415,4740,0
2015,388,1,0,H4,90811,8,14,14,61,0
2015,388,2,0,H4,90811,8,245,245,1953,0
2015,388,1,0,H4,90812,8,27505,27505,366212,0
2015,388,2,0,H4,90812,8,130,130,2367,0
2015,388,2,0,H4,90821,8,40,40,420,0
2015,388,1,0,H4,90822,8,700,700,1991,0
2015,388,1,0,H4,90831,8,190,190,1351,0
2015,388,1,0,H4,90832,8,140,140,528,0
2015,388,1,0,H4,909,8,41752,41752,175822,0
2015,388,2,0,H4,909,8,2,2,31,0
2015,388,1,0,H4,90921,8,16225,16225,68023,0
2015,388,1,0,H4,90922,8,6730,6730,27660,0
2015,388,1,0,H4,90931,8,5365,5365,26507,0
2015,388,1,0,H4,90932,8,4158,4158,16714,0
2015,388,1,0,H4,90961,8,2277,2277,7756,0
2015,388,2,0,H4,90961,8,2,2,31,0
2015,388,1,0,H4,90962,8,6998,6998,29163,0
2015,388,1,0,H4,910,8,318143,318143,1247833,0
2015,388,2,0,H4,910,8,543380,543380,1560380,0
2015,388,3,0,H4,910,8,22336,22336,176466,0
2015,388,1,0,H4,91011,8,5867,5867,19023,0
2015,388,2,0,H4,91011,8,123546,123546,498064,0
2015,388,3,0,H4,91011,8,21335,21335,167671,0
2015,388,1,0,H4,91012,8,27098,27098,138744,0
2015,388,2,0,H4,91012,8,8939,8939,63359,0
2015,388,3,0,H4,91012,8,1001,1001,8795,0
2015,388,1,0,H4,91020,8,3184,3184,14884,0
2015,388,1,0,H4,91030,8,198829,198829,531965,0
2015,388,2,0,H4,91030,8,294376,294376,444444,0
2015,388,1,0,H4,91091,8,5405,5405,29718,0
2015,388,2,0,H4,91091,8,1649,1649,1128,0
2015,388,1,0,H4,91099,8,77760,77760,513498,0
2015,388,2,0,H4,91099,8,114870,114870,553385,0
2008,388,2,0,H3,90411,8,13358,13358,92952,0
2008,388,1,0,H3,90411,8,294742,294742,1333386,0
2008,388,2,0,H3,90412,8,16902,16902,58159,0
2008,388,1,0,H3,90412,8,524389,524389,781727,0
2008,388,2,0,H3,903,8,333,333,644,0
2008,388,2,0,H3,906,8,325,325,2943,0
2008,388,1,0,H3,906,8,18237,18237,97912,0
2008,388,2,0,H3,90611,8,134,134,93,0
2008,388,1,0,H3,90611,8,4673,4673,18691,0
2008,388,2,0,H3,90619,8,164,164,2297,0
2008,388,2,0,H3,90220,8,4017,4017,13080,0
2008,388,1,0,H3,90619,8,524,524,2074,0
2008,388,2,0,H3,90210,8,13176,13176,78694,0
2008,388,2,0,H3,90620,8,27,27,552,0
2008,388,1,0,H3,90620,8,13040,13040,77147,0
2008,388,1,0,H3,907,8,5177,5177,25586,0
